Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A2-A0EU-10A-01D-A060-02	1	10209	2583075	NA	-0.210121164888764
TCGA-A2-A0EU-10A-01D-A060-02	1	2583076	249240606	NA	-0.101789555120838
TCGA-A2-A0EU-10A-01D-A060-02	2	10002	243189359	NA	-0.337963741969504
TCGA-A2-A0EU-10A-01D-A060-02	3	60175	162511435	NA	-0.0850647472883194
TCGA-A2-A0EU-10A-01D-A060-02	3	162511436	162626067	NA	0.42309157125509
TCGA-A2-A0EU-10A-01D-A060-02	3	162626068	197962416	NA	-0.0962225847981023
TCGA-A2-A0EU-10A-01D-A060-02	4	69223	191014397	NA	-0.0713350286479217
TCGA-A2-A0EU-10A-01D-A060-02	5	11770	180905246	NA	0.176064461471459
TCGA-A2-A0EU-10A-01D-A060-02	6	63815	171050932	NA	-0.0895478602860139
TCGA-A2-A0EU-10A-01D-A060-02	7	10128	159128640	NA	-0.0402976850808555
TCGA-A2-A0EU-10A-01D-A060-02	8	23380	1238776	NA	-1.29512163093905
TCGA-A2-A0EU-10A-01D-A060-02	8	1238777	1246507	NA	0.484060599726464
TCGA-A2-A0EU-10A-01D-A060-02	8	1246508	1316313	NA	-1.34134440497319
TCGA-A2-A0EU-10A-01D-A060-02	8	1316314	3129168	NA	0.633479182382731
TCGA-A2-A0EU-10A-01D-A060-02	8	3129169	36339136	NA	-1.25800956803346
TCGA-A2-A0EU-10A-01D-A060-02	8	36339137	39701358	NA	0.614107286644963
TCGA-A2-A0EU-10A-01D-A060-02	8	39701359	40086720	NA	0.275345530494848
TCGA-A2-A0EU-10A-01D-A060-02	8	40086721	48901482	NA	0.656347604902809
TCGA-A2-A0EU-10A-01D-A060-02	8	48901483	48911575	NA	-0.693717002645095
TCGA-A2-A0EU-10A-01D-A060-02	8	48911576	146303846	NA	0.76122152958433
TCGA-A2-A0EU-10A-01D-A060-02	9	10002	141153413	NA	-0.420611133189862
TCGA-A2-A0EU-10A-01D-A060-02	10	61819	38814891	NA	-0.0607885438124826
TCGA-A2-A0EU-10A-01D-A060-02	10	38869432	39154704	NA	-0.272909460644239
TCGA-A2-A0EU-10A-01D-A060-02	10	42402985	135524732	NA	-0.0509700323898731
TCGA-A2-A0EU-10A-01D-A060-02	11	196129	134946455	NA	0.161106582026716
TCGA-A2-A0EU-10A-01D-A060-02	12	182488	133841505	NA	0.375920156482938
TCGA-A2-A0EU-10A-01D-A060-02	13	19020029	115109864	NA	-0.329110530430637
TCGA-A2-A0EU-10A-01D-A060-02	14	19125053	107289526	NA	-0.412157733967097
TCGA-A2-A0EU-10A-01D-A060-02	15	20000002	102521366	NA	-0.111186296217344
TCGA-A2-A0EU-10A-01D-A060-02	16	60002	32156641	NA	0.856748384776295
TCGA-A2-A0EU-10A-01D-A060-02	16	34196286	35284587	NA	0.596498151295928
TCGA-A2-A0EU-10A-01D-A060-02	16	46501020	47954733	NA	0.87577641903903
TCGA-A2-A0EU-10A-01D-A060-02	16	47954734	47967347	NA	-0.308293267010226
TCGA-A2-A0EU-10A-01D-A060-02	16	47967348	48166008	NA	0.926816811775415
TCGA-A2-A0EU-10A-01D-A060-02	16	48166009	90294729	NA	-0.434375456727563
TCGA-A2-A0EU-10A-01D-A060-02	17	2	81195162	NA	0.113920304372678
TCGA-A2-A0EU-10A-01D-A060-02	18	63513	78017233	NA	-0.336459008710676
TCGA-A2-A0EU-10A-01D-A060-02	19	70881	59118869	NA	0.302780834625541
TCGA-A2-A0EU-10A-01D-A060-02	20	60002	62965506	NA	0.555356245332897
TCGA-A2-A0EU-10A-01D-A060-02	21	9422246	48119869	NA	-0.411290165586268
TCGA-A2-A0EU-10A-01D-A060-02	22	16972573	51244552	NA	-0.459539615359244
TCGA-A2-A0EU-10A-01D-A060-02	23	2699504	154930285	NA	0.194146928345973
TCGA-A2-A0EU-01A-22D-A060-02	1	10209	2583075	NA	-0.210121164888764
TCGA-A2-A0EU-01A-22D-A060-02	1	2583076	249240606	NA	-0.101789555120838
TCGA-A2-A0EU-01A-22D-A060-02	2	10002	243189359	NA	-0.337963741969504
TCGA-A2-A0EU-01A-22D-A060-02	3	60175	162511435	NA	-0.0850647472883194
TCGA-A2-A0EU-01A-22D-A060-02	3	162511436	162626067	NA	0.42309157125509
TCGA-A2-A0EU-01A-22D-A060-02	3	162626068	197962416	NA	-0.0962225847981023
TCGA-A2-A0EU-01A-22D-A060-02	4	69223	191014397	NA	-0.0713350286479217
TCGA-A2-A0EU-01A-22D-A060-02	5	11770	180905246	NA	0.176064461471459
TCGA-A2-A0EU-01A-22D-A060-02	6	63815	171050932	NA	-0.0895478602860139
TCGA-A2-A0EU-01A-22D-A060-02	7	10128	159128640	NA	-0.0402976850808555
TCGA-A2-A0EU-01A-22D-A060-02	8	23380	1238776	NA	-1.29512163093905
TCGA-A2-A0EU-01A-22D-A060-02	8	1238777	1246507	NA	0.484060599726464
TCGA-A2-A0EU-01A-22D-A060-02	8	1246508	1316313	NA	-1.34134440497319
TCGA-A2-A0EU-01A-22D-A060-02	8	1316314	3129168	NA	0.633479182382731
TCGA-A2-A0EU-01A-22D-A060-02	8	3129169	36339136	NA	-1.25800956803346
TCGA-A2-A0EU-01A-22D-A060-02	8	36339137	39701358	NA	0.614107286644963
TCGA-A2-A0EU-01A-22D-A060-02	8	39701359	40086720	NA	0.275345530494848
TCGA-A2-A0EU-01A-22D-A060-02	8	40086721	48901482	NA	0.656347604902809
TCGA-A2-A0EU-01A-22D-A060-02	8	48901483	48911575	NA	-0.693717002645095
TCGA-A2-A0EU-01A-22D-A060-02	8	48911576	146303846	NA	0.76122152958433
TCGA-A2-A0EU-01A-22D-A060-02	9	10002	141153413	NA	-0.420611133189862
